timestamp,voltage,current,power_factor
2024-01-01T00:00:00+00:00,230.6094,4.4041,0.9015
2024-01-01T00:30:00+00:00,227.92,3.3931,0.9102
2024-01-01T01:00:00+00:00,231.5009,4.5411,0.9188
2024-01-01T01:30:00+00:00,231.8811,5.9039,0.9187
2024-01-01T02:00:00+00:00,226.0979,3.366,0.8829
2024-01-01T02:30:00+00:00,227.3956,3.2445,0.9108
2024-01-01T03:00:00+00:00,230.2557,6.194,0.895
2024-01-01T03:30:00+00:00,229.3675,4.6445,0.9442
2024-01-01T04:00:00+00:00,229.9664,2.7214,0.9484
2024-01-01T04:30:00+00:00,228.2939,4.5256,0.901
2024-01-01T05:00:00+00:00,231.7588,2.8799,0.8923
2024-01-01T05:30:00+00:00,231.5556,2.8687,0.8954
2024-01-01T06:00:00+00:00,230.1321,3.9515,0.9134
2024-01-01T06:30:00+00:00,232.2545,0.5134,0.9412
2024-01-01T07:00:00+00:00,230.935,0.8283,0.915
2024-01-01T07:30:00+00:00,228.2814,2.7881,0.8839
2024-01-01T08:00:00+00:00,230.7375,2.0246,0.8828
2024-01-01T08:30:00+00:00,228.0822,4.1829,0.8959
2024-01-01T09:00:00+00:00,231.7569,2.0555,0.939
2024-01-01T09:30:00+00:00,229.9001,1.3152,0.9235
2024-01-01T10:00:00+00:00,229.6303,5.8665,0.9194
2024-01-01T10:30:00+00:00,228.6381,3.2706,0.9023
2024-01-01T11:00:00+00:00,232.4451,3.5166,0.9451
2024-01-01T11:30:00+00:00,229.6909,1.326,0.9032
2024-01-01T12:00:00+00:00,229.1433,2.6439,0.9384
2024-01-01T12:30:00+00:00,229.2957,3.6407,0.9427
2024-01-01T13:00:00+00:00,231.0646,1.7349,0.9138
2024-01-01T13:30:00+00:00,230.7309,4.0243,0.9426
2024-01-01T14:00:00+00:00,230.8255,2.6483,0.8994
2024-01-01T14:30:00+00:00,230.8616,3.0532,0.9261
2024-01-01T15:00:00+00:00,234.2833,2.6464,0.8862
2024-01-01T15:30:00+00:00,229.1872,6.5337,0.9132
2024-01-01T16:00:00+00:00,228.9755,3.6369,0.8952
2024-01-01T16:30:00+00:00,228.3725,1.9678,0.8844
2024-01-01T17:00:00+00:00,231.232,5.0317,0.8803
2024-01-01T17:30:00+00:00,232.2579,1.6362,0.9027
2024-01-01T18:00:00+00:00,229.7721,3.872,0.9213
2024-01-01T18:30:00+00:00,228.3197,0.4648,0.9119
2024-01-01T19:00:00+00:00,228.351,1.4933,0.9011
2024-01-01T19:30:00+00:00,231.3012,3.7142,0.9494
2024-01-01T20:00:00+00:00,231.4865,4.5501,0.9458
2024-01-01T20:30:00+00:00,231.0863,3.9297,0.8888
2024-01-01T21:00:00+00:00,228.669,3.4225,0.9091
2024-01-01T21:30:00+00:00,230.4643,3.046,0.9254
2024-01-01T22:00:00+00:00,230.2334,1.1993,0.9313
2024-01-01T22:30:00+00:00,230.4374,2.444,0.9056
2024-01-01T23:00:00+00:00,231.7429,2.7608,0.9322
2024-01-01T23:30:00+00:00,230.4472,5.3828,0.8887
2024-01-02T00:00:00+00:00,231.3578,4.1372,0.9032
2024-01-02T00:30:00+00:00,230.1352,0.7583,0.9302
